"filename", "language", "Handlebars", "SCSS", "Markdown", "JavaScript", "JSON", "XML", "CSS", "comment", "blank", "total"
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_listing.scss", "SCSS", 0, 28, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_main-footer.scss", "SCSS", 0, 133, 0, 0, 0, 0, 0, 14, 17, 164
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_main-form.scss", "SCSS", 0, 43, 0, 0, 0, 0, 0, 5, 8, 56
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_main-header.scss", "SCSS", 0, 185, 0, 0, 0, 0, 0, 8, 19, 212
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_main-nav-search-form-toggle.scss", "SCSS", 0, 32, 0, 0, 0, 0, 0, 2, 4, 38
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_main-nav-toggle.scss", "SCSS", 0, 33, 0, 0, 0, 0, 0, 6, 6, 45
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_main-nav.scss", "SCSS", 0, 135, 0, 0, 0, 0, 0, 0, 15, 150
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_modal.scss", "SCSS", 0, 61, 0, 0, 0, 0, 0, 0, 7, 68
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_p404.scss", "SCSS", 0, 34, 0, 0, 0, 0, 0, 3, 2, 39
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_products-header.scss", "SCSS", 0, 42, 0, 0, 0, 0, 0, 0, 1, 43
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_search-form.scss", "SCSS", 0, 72, 0, 0, 0, 0, 0, 0, 14, 86
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_section-big-cards.scss", "SCSS", 0, 22, 0, 0, 0, 0, 0, 1, 2, 25
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_section-cards.scss", "SCSS", 0, 64, 0, 0, 0, 0, 0, 5, 4, 73
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_social.scss", "SCSS", 0, 43, 0, 0, 0, 0, 0, 4, 7, 54
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_solo-product.scss", "SCSS", 0, 297, 0, 0, 0, 0, 0, 5, 30, 332
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_table.scss", "SCSS", 0, 205, 0, 0, 0, 0, 0, 11, 15, 231
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\main.scss", "SCSS", 0, 50, 0, 0, 0, 0, 0, 11, 8, 69
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\pages\README.md", "Markdown", 0, 0, 4, 0, 0, 0, 0, 0, 4, 8
