Date : 2022-11-18 15:23:15
Directory : c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT
Total : 150 files,  14058 codes, 645 comments, 1070 blanks, all 15773 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\README.md                                | Markdown   |          4 |          0 |          4 |          8 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\abstracts\README.md                      | Markdown   |          4 |          0 |          4 |          8 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\abstracts\_functions.scss                | SCSS       |          9 |         19 |          4 |         32 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\abstracts\_mixins.scss                   | SCSS       |         29 |         10 |          3 |         42 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\abstracts\_palette.scss                  | SCSS       |         22 |         12 |          3 |         37 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\abstracts\_variables.scss                | SCSS       |         14 |         26 |         32 |         72 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\base\README.md                           | Markdown   |          3 |          0 |          3 |          6 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\base\_animations.scss                    | SCSS       |         39 |          0 |          3 |         42 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\base\_base.scss                          | SCSS       |         28 |          3 |          9 |         40 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\base\_fonts.scss                         | SCSS       |          3 |          1 |          0 |          4 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\base\_reset.scss                         | SCSS       |         10 |          0 |          4 |         14 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\base\_utilities.scss                     | SCSS       |         46 |          0 |         11 |         57 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\README.md                     | Markdown   |          3 |          0 |          3 |          6 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_badge.scss                   | SCSS       |         21 |          0 |          2 |         23 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_big-cards-container.scss     | SCSS       |         19 |          0 |          1 |         20 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_big-cards.scss               | SCSS       |        113 |          8 |         19 |        140 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_btn.scss                     | SCSS       |         48 |          3 |          4 |         55 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_card-product-list.scss       | SCSS       |        129 |          6 |         16 |        151 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_cards-container.scss         | SCSS       |         19 |          0 |          2 |         21 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_cards.scss                   | SCSS       |        271 |          2 |         27 |        300 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_cart-product.scss            | SCSS       |         68 |          2 |          5 |         75 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_error-display__popup.scss    | SCSS       |         27 |          0 |          2 |         29 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_form-buttons.scss            | SCSS       |         37 |          0 |          6 |         43 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_github-link.scss             | SCSS       |         20 |          0 |          6 |         26 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_google-map.scss              | SCSS       |         15 |          1 |          1 |         17 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_input-group.scss             | SCSS       |        128 |          7 |         23 |        158 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_linkedin-link.scss           | SCSS       |         20 |          0 |          5 |         25 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_message.scss                 | SCSS       |         44 |          4 |          3 |         51 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_overlap-image.scss           | SCSS       |         18 |          0 |          1 |         19 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_pagination.scss              | SCSS       |         51 |          0 |          6 |         57 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_popup.scss                   | SCSS       |         17 |          4 |          5 |         26 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_spin.scss                    | SCSS       |         46 |          1 |          5 |         52 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\README.md                         | Markdown   |          3 |          0 |          3 |          6 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_cart-button.scss                 | SCSS       |         45 |          7 |          5 |         57 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_cart-modal-toggle.scss           | SCSS       |         11 |          0 |          0 |         11 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_cart-window.scss                 | SCSS       |         95 |         10 |         10 |        115 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_creator.scss                     | SCSS       |         57 |          0 |         11 |         68 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_hamburger-button.scss            | SCSS       |         44 |          5 |          6 |         55 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_id-form.scss                     | SCSS       |         56 |          5 |          7 |         68 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_intro-header.scss                | SCSS       |         25 |          1 |          3 |         29 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_invitation-newsletter.scss       | SCSS       |         99 |         17 |         14 |        130 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_listing.scss                     | SCSS       |         28 |          0 |          4 |         32 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_main-footer.scss                 | SCSS       |        133 |         14 |         17 |        164 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_main-form.scss                   | SCSS       |         43 |          5 |          8 |         56 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_main-header.scss                 | SCSS       |        185 |          8 |         19 |        212 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_main-nav-search-form-toggle.scss | SCSS       |         32 |          2 |          4 |         38 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_main-nav-toggle.scss             | SCSS       |         33 |          6 |          6 |         45 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_main-nav.scss                    | SCSS       |        135 |          0 |         15 |        150 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_modal.scss                       | SCSS       |         61 |          0 |          7 |         68 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_p404.scss                        | SCSS       |         34 |          3 |          2 |         39 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_products-header.scss             | SCSS       |         42 |          0 |          1 |         43 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_search-form.scss                 | SCSS       |         72 |          0 |         14 |         86 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_section-big-cards.scss           | SCSS       |         22 |          1 |          2 |         25 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_section-cards.scss               | SCSS       |         64 |          5 |          4 |         73 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_social.scss                      | SCSS       |         43 |          4 |          7 |         54 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_solo-product.scss                | SCSS       |        297 |          5 |         30 |        332 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_table.scss                       | SCSS       |        205 |         11 |         15 |        231 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\main.scss                                | SCSS       |         50 |         11 |          8 |         69 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\pages\README.md                          | Markdown   |          4 |          0 |          4 |          8 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\pages\_nosotros.scss                     | SCSS       |          1 |          0 |          2 |          3 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\themes\README.md                         | Markdown   |          4 |          0 |          4 |          8 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\themes\_default.scss                     | SCSS       |          0 |          4 |          1 |          5 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\vendors\README.md                        | Markdown   |          4 |          0 |          4 |          8 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\vendors\_normalize.scss                  | SCSS       |        146 |        129 |         74 |        349 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\src\Product.js                                | JavaScript |         29 |          0 |          1 |         30 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\404.hbs                                 | Handlebars |         12 |          0 |          0 |         12 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\alta.hbs                                | Handlebars |        343 |          3 |         11 |        357 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\contacto.hbs                            | Handlebars |         98 |          0 |          4 |        102 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\home.hbs                                | Handlebars |         60 |          0 |          2 |         62 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\layouts\main.hbs                        | Handlebars |         16 |          1 |          4 |         21 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\listado.hbs                             | Handlebars |          4 |          0 |          4 |          8 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\listingContainer.hbs                    | Handlebars |         71 |          0 |          5 |         76 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\main.hbs                                | Handlebars |         18 |          2 |          3 |         23 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\modalApproved.hbs                       | Handlebars |         15 |          0 |          0 |         15 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\modalConfirm.hbs                        | Handlebars |         15 |          0 |          0 |         15 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\modalMP.hbs                             | Handlebars |         15 |          0 |          0 |         15 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\modalRemove.hbs                         | Handlebars |         16 |          0 |          0 |         16 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\nosotros.hbs                            | Handlebars |        285 |          0 |          4 |        289 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\partials\components\badges.hbs          | Handlebars |          9 |          0 |          0 |          9 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\partials\components\card.hbs            | Handlebars |         37 |          0 |          0 |         37 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\partials\components\categoryBadge.hbs   | Handlebars |          1 |          0 |          0 |          1 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\partials\components\pagination.hbs      | Handlebars |         20 |          0 |          1 |         21 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\partials\components\productCart.hbs     | Handlebars |         17 |          0 |          0 |         17 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\partials\components\tableThin.hbs       | Handlebars |         52 |          0 |          0 |         52 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\partials\layout\main-footer.hbs         | Handlebars |        239 |          0 |          0 |        239 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\partials\layout\main-header.hbs         | Handlebars |        131 |          0 |          0 |        131 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\product.hbs                             | Handlebars |         77 |          0 |          1 |         78 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\productsCart.hbs                        | Handlebars |          7 |          2 |          0 |          9 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\productsTable.hbs                       | Handlebars |         46 |          0 |          1 |         47 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\sale.hbs                                | Handlebars |         13 |          0 |          0 |         13 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\salesTable.hbs                          | Handlebars |         40 |          0 |          1 |         41 |
| Total                                                                                                          |            |     14,058 |        645 |      1,070 |     15,773 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
